label_id,name,category
1,label-1,release
2,label-2,area
3,label-3,area
4,label-4,release
5,label-5,release
6,label-6,component
7,label-7,component
8,label-8,component
9,label-9,component
10,label-10,domain
11,label-11,domain
12,label-12,area
13,label-13,domain
14,label-14,domain
15,label-15,component
16,label-16,component
17,label-17,release
18,label-18,component
19,label-19,release
20,label-20,release
21,label-21,domain
22,label-22,component
23,label-23,domain
24,label-24,component
25,label-25,domain
26,label-26,domain
27,label-27,domain
28,label-28,area
29,label-29,domain
30,label-30,priority
31,label-31,priority
32,label-32,priority
33,label-33,release
34,label-34,domain
35,label-35,priority
36,label-36,release
37,label-37,priority
38,label-38,component
39,label-39,area
40,label-40,domain
41,label-41,area
42,label-42,area
43,label-43,component
44,label-44,component
45,label-45,component
46,label-46,release
47,label-47,priority
48,label-48,domain
49,label-49,component
50,label-50,domain
51,label-51,domain
52,label-52,domain
53,label-53,component
54,label-54,component
55,label-55,priority
56,label-56,component
57,label-57,component
58,label-58,domain
59,label-59,priority
60,label-60,area
61,label-61,component
62,label-62,component
63,label-63,area
64,label-64,domain
65,label-65,priority
66,label-66,domain
67,label-67,release
68,label-68,component
69,label-69,release
70,label-70,component
71,label-71,release
72,label-72,area
73,label-73,component
74,label-74,component
75,label-75,release
76,label-76,priority
77,label-77,release
78,label-78,component
79,label-79,component
80,label-80,priority
81,label-81,domain
82,label-82,priority
83,label-83,domain
84,label-84,component
85,label-85,area
86,label-86,area
87,label-87,release
88,label-88,priority
89,label-89,priority
90,label-90,area
91,label-91,domain
92,label-92,priority
93,label-93,domain
94,label-94,domain
95,label-95,domain
96,label-96,domain
97,label-97,release
98,label-98,release
99,label-99,area
100,label-100,release
101,label-101,priority
102,label-102,release
103,label-103,priority
104,label-104,priority
105,label-105,domain
106,label-106,area
107,label-107,domain
108,label-108,domain
109,label-109,release
110,label-110,release
111,label-111,priority
112,label-112,release
113,label-113,release
114,label-114,component
115,label-115,priority
116,label-116,priority
117,label-117,component
118,label-118,priority
119,label-119,area
120,label-120,area
121,label-121,component
122,label-122,release
123,label-123,area
124,label-124,component
125,label-125,area
126,label-126,domain
127,label-127,component
128,label-128,priority
129,label-129,area
130,label-130,priority
131,label-131,component
132,label-132,area
133,label-133,priority
134,label-134,release
135,label-135,release
136,label-136,domain
137,label-137,component
138,label-138,priority
139,label-139,domain
140,label-140,component
141,label-141,release
142,label-142,priority
143,label-143,area
144,label-144,release
145,label-145,area
146,label-146,area
147,label-147,priority
148,label-148,priority
149,label-149,area
150,label-150,domain
151,label-151,area
152,label-152,area
153,label-153,priority
154,label-154,component
155,label-155,release
156,label-156,priority
157,label-157,domain
158,label-158,release
159,label-159,priority
160,label-160,priority
161,label-161,component
162,label-162,domain
163,label-163,domain
164,label-164,priority
165,label-165,component
166,label-166,priority
167,label-167,area
168,label-168,area
169,label-169,component
170,label-170,priority
171,label-171,component
172,label-172,priority
173,label-173,priority
174,label-174,area
175,label-175,release
176,label-176,domain
177,label-177,domain
178,label-178,component
179,label-179,domain
180,label-180,area
181,label-181,release
182,label-182,priority
183,label-183,priority
184,label-184,area
185,label-185,domain
186,label-186,priority
187,label-187,domain
188,label-188,area
189,label-189,priority
190,label-190,component
191,label-191,release
192,label-192,domain
193,label-193,domain
194,label-194,domain
195,label-195,domain
196,label-196,area
197,label-197,area
198,label-198,area
199,label-199,area
200,label-200,priority
201,label-201,area
202,label-202,priority
203,label-203,component
204,label-204,area
205,label-205,component
206,label-206,area
207,label-207,component
208,label-208,release
209,label-209,component
210,label-210,priority
211,label-211,domain
212,label-212,component
213,label-213,domain
214,label-214,release
215,label-215,release
216,label-216,priority
217,label-217,priority
218,label-218,component
219,label-219,area
220,label-220,release
221,label-221,domain
222,label-222,area
223,label-223,release
224,label-224,component
225,label-225,release
226,label-226,priority
227,label-227,domain
228,label-228,domain
229,label-229,priority
230,label-230,area
231,label-231,priority
232,label-232,domain
233,label-233,component
234,label-234,area
235,label-235,release
236,label-236,component
237,label-237,area
238,label-238,domain
239,label-239,domain
240,label-240,component
241,label-241,area
242,label-242,release
243,label-243,release
244,label-244,priority
245,label-245,component
246,label-246,area
247,label-247,component
248,label-248,release
249,label-249,area
250,label-250,domain
251,label-251,domain
252,label-252,area
253,label-253,component
254,label-254,component
255,label-255,domain
256,label-256,domain
257,label-257,release
258,label-258,area
259,label-259,component
260,label-260,release
261,label-261,component
262,label-262,domain
263,label-263,area
264,label-264,priority
265,label-265,area
266,label-266,priority
267,label-267,release
268,label-268,priority
269,label-269,priority
270,label-270,release
271,label-271,area
272,label-272,release
273,label-273,domain
274,label-274,domain
275,label-275,priority
276,label-276,release
277,label-277,release
278,label-278,release
279,label-279,area
280,label-280,component
281,label-281,component
282,label-282,component
283,label-283,area
284,label-284,release
285,label-285,component
286,label-286,release
287,label-287,priority
288,label-288,component
289,label-289,priority
290,label-290,area
291,label-291,domain
292,label-292,area
293,label-293,area
294,label-294,area
295,label-295,component
296,label-296,priority
297,label-297,component
298,label-298,domain
299,label-299,area
300,label-300,release
